Product Name,Features,Description
SensePod,Dew point calculation,"Calculates dew point using temperature and humidity data to identify conditions that may cause condensation, mold, or material degradation."
SensePod,Flood detection,"Detects the presence of water when levels exceed predefined thresholds, indicating potential flooding or water ingress."
SensePod,Vibration monitoring,Monitors vibration patterns when attached to appliances or equipment to detect abnormal operation or mechanical issues.
SensePod,Flexible placement,"Can be installed in rooms, near appliances, inside cabinets, or close to potential leak points based on monitoring requirements."
SensePod,Threshold-based alerts,Generates alerts when monitored parameters exceed predefined thresholds set by the system or user.
SensePod,Historical environmental data tracking,"Analyzes historical temperature, humidity, flood, and vibration data to identify trends and recurring issues."
SensePod,Localized water ingress detection,"Detects early-stage water leakage from air conditioning units, windows, or external wall infiltration by identifying localized moisture accumulation before full flooding occurs."
Gas Clamp Sensor,Non-intrusive installation,"Clamps externally onto existing gas pipes without cutting, drilling, or interrupting gas supply."
Gas Clamp Sensor,Real-time gas consumption monitoring,Continuously monitors gas flow rates and consumption in near real time.
Gas Clamp Sensor,Continuous gas flow detection,"Identifies prolonged or continuous gas flow that may indicate leaks, faulty appliances, or valves left open."
Gas Clamp Sensor,Consumption deviation analysis,Compares real-time gas usage against historical baselines to identify abnormal or inefficient consumption patterns.
Gas Clamp Sensor,Location-specific gas monitoring,Enables gas consumption measurement at specific pipe sections or appliance supply lines rather than only at the main gas meter.
Gas Clamp Sensor,Gas usage event identification,"Identifies gas usage events based on flow rate, duration, and timing characteristics."
Gas Clamp Sensor,Abnormal consumption alerts,Sends alerts when gas consumption exceeds expected thresholds or deviates significantly from normal behavior.
Gas Clamp Sensor,Budget deviation monitoring,Tracks gas usage against predefined consumption or cost budgets and triggers alerts when limits are exceeded.
Gas Clamp Sensor,Methane leak pattern detection,"Identifies gas flow patterns consistent with methane leaks for early warning and risk mitigation, without requiring invasive gas sensors."
Gas Clamp Sensor,Inefficient appliance detection,"Detects abnormal consumption signatures that suggest malfunctioning or inefficient gas appliances such as boilers, furnaces, or water heaters."
Gas Clamp Sensor,Usage trend forecasting,Analyzes historical gas consumption data to forecast future usage trends and anticipate seasonal demand increases.
Water Clamp Sensor,Non-intrusive installation,"Clamps externally onto existing water pipes without cutting, drilling, or interrupting water supply."
Water Clamp Sensor,Real-time water consumption monitoring,Continuously monitors water flow rates and consumption in near real time.
Water Clamp Sensor,Proactive water leak detection,Detects abnormal flow patterns that indicate potential leaks within the monitored pipe section.
Water Clamp Sensor,Continuous flow detection,"Identifies prolonged water flow events that may indicate leaks, faulty valves, or appliances left running."
